time,volume,complete,mid_open,mid_high,mid_low,mid_close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,local_time,session_date,clock,atr,body,range,body_fraction,median_body,opening_range_high,opening_range_low,opening_range_candles
2026-06-26 16:35:00+00:00,727,True,1.13888,1.13896,1.1383,1.13864,1.1388,1.13888,1.13822,1.13856,1.13895,1.13904,1.13838,1.13872,2026-06-26 12:35:00-04:00,2026-06-26,12:35:00,0.0004814285714285692,0.00023999999999979593,0.0006599999999998829,0.36363636363611895,0.00021499999999996522,1.14248,1.14198,3.0
2026-06-26 16:40:00+00:00,424,True,1.13862,1.13905,1.13862,1.13892,1.13855,1.13897,1.13855,1.13884,1.1387,1.13914,1.1387,1.13901,2026-06-26 12:40:00-04:00,2026-06-26,12:40:00,0.0004757142857142777,0.00029999999999996696,0.00042999999999993044,0.6976744186046872,0.00021499999999996522,1.14248,1.14198,3.0
2026-06-26 16:45:00+00:00,319,True,1.13891,1.13904,1.13888,1.13892,1.13883,1.13897,1.1388,1.13884,1.13899,1.13912,1.13897,1.139,2026-06-26 12:45:00-04:00,2026-06-26,12:45:00,0.0004585714285714352,9.999999999843467e-06,0.00016000000000016001,0.062499999998959166,0.00021499999999996522,1.14248,1.14198,3.0
2026-06-26 16:50:00+00:00,252,True,1.13892,1.13906,1.13886,1.13899,1.13884,1.13898,1.13878,1.13891,1.13899,1.13915,1.13894,1.13907,2026-06-26 12:50:00-04:00,2026-06-26,12:50:00,0.0004528571428571596,7.00000000000145e-05,0.00019999999999997797,0.350000000000111,0.00017000000000000348,1.14248,1.14198,3.0
2026-06-26 16:55:00+00:00,281,True,1.13898,1.13915,1.13892,1.13898,1.1389,1.13907,1.13883,1.13891,1.13907,1.13924,1.13899,1.13906,2026-06-26 12:55:00-04:00,2026-06-26,12:55:00,0.00044714285714288405,0.0,0.0002300000000001745,0.0,0.00017000000000000348,1.14248,1.14198,3.0
2026-06-26 17:00:00+00:00,365,True,1.13899,1.13918,1.13888,1.1391,1.13891,1.1391,1.1388,1.13903,1.13907,1.13927,1.13896,1.13917,2026-06-26 13:00:00-04:00,2026-06-26,13:00:00,0.0003850000000000321,0.0001100000000000545,0.000300000000000189,0.36666666666661735,0.00017000000000000348,1.14248,1.14198,3.0
2026-06-26 17:05:00+00:00,288,True,1.13911,1.13928,1.13908,1.13922,1.13904,1.13919,1.139,1.13914,1.13918,1.13936,1.13915,1.13929,2026-06-26 13:05:00-04:00,2026-06-26,13:05:00,0.0003614285714285919,0.00010999999999983245,0.00019999999999997797,0.5499999999992229,0.00013500000000010726,1.14248,1.14198,3.0
2026-06-26 17:10:00+00:00,257,True,1.13922,1.13932,1.13912,1.13916,1.13914,1.13924,1.13904,1.13908,1.1393,1.1394,1.1392,1.13923,2026-06-26 13:10:00-04:00,2026-06-26,13:10:00,0.00035000000000004076,5.999999999994898e-05,0.00020000000000020002,0.2999999999994449,0.00013500000000010726,1.14248,1.14198,3.0
2026-06-26 17:15:00+00:00,193,True,1.13916,1.13923,1.13904,1.13904,1.13908,1.13915,1.13896,1.13896,1.13925,1.13931,1.13912,1.13912,2026-06-26 13:15:00-04:00,2026-06-26,13:15:00,0.00033214285714289193,0.00011999999999989797,0.00018999999999991246,0.631578947368175,0.00012000000000012001,1.14248,1.14198,3.0
2026-06-26 17:20:00+00:00,237,True,1.13904,1.13912,1.13896,1.13904,1.13897,1.13904,1.13888,1.13897,1.13912,1.1392,1.13904,1.13912,2026-06-26 13:20:00-04:00,2026-06-26,13:20:00,0.0003242857142857452,0.0,0.00015999999999993797,0.0,0.00011499999999997623,1.14248,1.14198,3.0
2026-06-26 17:25:00+00:00,404,True,1.13905,1.1391,1.13888,1.13888,1.13898,1.13902,1.1388,1.13881,1.13912,1.13917,1.13895,1.13895,2026-06-26 13:25:00-04:00,2026-06-26,13:25:00,0.0003278571428571813,0.00017000000000000348,0.000220000000000109,0.7727272727269057,0.00011499999999997623,1.14248,1.14198,3.0
2026-06-26 17:30:00+00:00,388,True,1.13889,1.13899,1.13853,1.13857,1.13882,1.13891,1.13845,1.1385,1.13896,1.13907,1.13861,1.13864,2026-06-26 13:30:00-04:00,2026-06-26,13:30:00,0.000304285714285741,0.00031999999999987594,0.00045999999999990493,0.6956521739129176,0.00011499999999997623,1.14248,1.14198,3.0
2026-06-26 17:35:00+00:00,391,True,1.13858,1.1387,1.13848,1.13858,1.13851,1.13863,1.13841,1.13851,1.13866,1.13877,1.13855,1.13866,2026-06-26 13:35:00-04:00,2026-06-26,13:35:00,0.0003014285714285953,0.0,0.000220000000000109,0.0,0.00011499999999997623,1.14248,1.14198,3.0
2026-06-26 17:40:00+00:00,399,True,1.13858,1.13894,1.13848,1.13889,1.13851,1.13886,1.1384,1.13881,1.13865,1.13903,1.13856,1.13897,2026-06-26 13:40:00-04:00,2026-06-26,13:40:00,0.0002921428571428995,0.00031000000000003247,0.000460000000000127,0.6739130434781454,0.00010999999999994348,1.14248,1.14198,3.0
2026-06-26 17:45:00+00:00,203,True,1.1389,1.13895,1.13874,1.1388,1.13881,1.13887,1.13866,1.13871,1.13898,1.13903,1.13882,1.13888,2026-06-26 13:45:00-04:00,2026-06-26,13:45:00,0.000260000000000038,9.999999999998899e-05,0.00020999999999982144,0.47619047619082866,0.00010999999999994348,1.14248,1.14198,3.0
2026-06-26 17:50:00+00:00,182,True,1.1388,1.13898,1.1388,1.13886,1.13872,1.1389,1.13872,1.13878,1.13887,1.13905,1.13887,1.13893,2026-06-26 13:50:00-04:00,2026-06-26,13:50:00,0.000242142857142905,5.999999999994898e-05,0.000180000000000069,0.33333333333292214,0.00010499999999991072,1.14248,1.14198,3.0
2026-06-26 17:55:00+00:00,280,True,1.13884,1.13886,1.13854,1.13864,1.13876,1.13879,1.13846,1.13857,1.13892,1.13894,1.13863,1.13872,2026-06-26 13:55:00-04:00,2026-06-26,13:55:00,0.00025357142857145617,0.00019999999999997797,0.00031999999999987594,0.6250000000001735,0.00010499999999991072,1.14248,1.14198,3.0
2026-06-26 18:00:00+00:00,353,True,1.13866,1.13909,1.13853,1.13907,1.13858,1.13901,1.13845,1.13899,1.13874,1.13917,1.13861,1.13915,2026-06-26 14:00:00-04:00,2026-06-26,14:00:00,0.00027928571428573586,0.00041000000000002146,0.0005599999999998939,0.7321428571430342,0.00010999999999994348,1.14248,1.14198,3.0
2026-06-26 18:05:00+00:00,289,True,1.13906,1.13912,1.13892,1.13894,1.13898,1.13903,1.13884,1.13887,1.13913,1.1392,1.139,1.13902,2026-06-26 14:05:00-04:00,2026-06-26,14:05:00,0.0002771428571428647,0.00011999999999989797,0.00019999999999997797,0.5999999999995559,0.00010999999999994348,1.14248,1.14198,3.0
2026-06-26 18:10:00+00:00,245,True,1.13894,1.13906,1.13888,1.13899,1.13886,1.13897,1.1388,1.13891,1.13902,1.13914,1.13897,1.13907,2026-06-26 14:10:00-04:00,2026-06-26,14:10:00,0.00026857142857142753,4.999999999988347e-05,0.000180000000000069,0.27777777777702395,0.00011499999999997623,1.14248,1.14198,3.0
2026-06-26 18:15:00+00:00,257,True,1.139,1.13904,1.13881,1.13888,1.13893,1.13897,1.13873,1.1388,1.13907,1.13912,1.13889,1.13896,2026-06-26 14:15:00-04:00,2026-06-26,14:15:00,0.0002707142857142829,0.00012000000000012001,0.00022999999999995246,0.5217391304354122,0.00010999999999994348,1.14248,1.14198,3.0
